start;stop;from;from_ip;server;server_dist (km);server_ping (ms);download (Mbit/s);upload (Mbit/s);share_url
2017-11-12 14:23:58;2017-11-12 14:24:23;Vodafone Kabel Deutschland;31.18.248.174;IT Ohlendorf (Salzgitter);30.66;32.437;56.18;2.43;
2017-11-12 14:25:04;2017-11-12 14:25:28;Vodafone Kabel Deutschland;31.18.248.174;Hanne & Fomenko GbR (Salzgitter);30.66;37.208;24.58;2.68;
